@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,39,43,44,45,46,48,49,50,51,52,53,54,55,56,57,60,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,186,231,241}

@data
22,2,26,2,275,169,-0.35,101
22,2,28,2,274,166,1.42,108
24,2,28,2,278,176,-1.05,97
22,3,27,2,278,179,-0.73,98
22,2,26,2,281,180,0.74,117
22,3,27,3,284,179,0.75,101
23,3,26,3,289,179,1.5,108
23,4,22,3,296,171,0,111
25,2,29,3,289,179,2.43,101
20,3,27,2,286,184,1.02,115
21,2,29,3,286,183,1.02,112
22,3,28,3,285,184,1.02,97
20,3,26,3,286,185,1.37,241
22,2,28,3,286,183,1.7,111
21,3,29,3,293,174,2.09,108
28,3,30,3,296,181,0.99,100
27,2,30,3,293,180,1.34,101
27,3,30,3,294,175,1.01,98
?,?,30,3,295,172,2.03,97
22,3,20,3,296,167,2.36,114
23,4,21,4,295,167,0.68,98
22,4,23,4,297,167,1.69,97
27,2,29,3,298,175,1.95,98
23,4,27,3,295,173,2.61,108
25,3,30,3,296,175,2.29,97
27,4,31,3,298,174,1.63,110
27,3,30,3,301,173,2.63,99
?,?,22,3,298,169,2.98,97
24,2,28,3,293,169,1.66,109
25,2,30,3,293,172,1.32,101
26,3,31,3,291,171,1,115
23,2,28,2,291,171,1.67,101
20,3,26,3,295,171,2.3,241
19,3,22,3,296,167,1.68,97
21,3,19,3,295,168,2.03,108
21,3,20,4,296,167,2,97
25,2,29,3,294,171,2.33,117
24,3,30,3,298,171,1,110
28,3,31,3,302,172,1.67,97
27,3,30,4,305,171,3.02,115
27,4,29,3,304,170,2.32,101
26,2,31,3,299,169,1.68,114
19,3,18,3,297,166,2.07,105
20,3,18,3,295,166,2.73,101
21,3,21,3,292,166,1.73,100
20,3,18,3,292,166,1.39,101
25,4,29,3,292,173,0.68,114
26,2,29,3,291,170,1.7,101
25,3,29,3,291,170,1.03,116
25,3,29,4,291,170,1.72,114
24,4,30,3,290,167,1.73,97
24,3,29,3,289,168,1.05,116
?,?,29,3,288,166,1.39,111
18,3,19,3,288,162,1.76,115
25,2,28,3,286,165,0.34,105
24,4,29,3,294,165,1.67,108
25,2,30,3,305,166,2.65,117
28,2,31,4,305,168,2.63,115
26,3,30,4,304,167,3.68,116
26,3,29,3,304,167,3.39,114
?,?,32,3,301,164,3.12,101
18,3,18,3,293,162,2.75,115
